K,CC(-H)O,1.662
K,CC(-H)OH,1.887
K,CC(-H)OOH,-0.549
K,CCH(-H)O,1.502
K,CCH(-H)OH,0.961
K,CCH2O,1.146
K,C-CH2O,2.074
K,CCH2OH,0.061
K,CCH2O-H,1.405
K,C-CH2OH,1.768
K,CCHO,1.011
K,C-CHO,1.925
K,CCHOH,0.603
K,CCHO-H,1.189
K,C-CHOH,2.079
K,CCHOOH,-1.103
K,CCHO-OH,-0.741
K,C-CHOOH,-0.665
K,CCO,1.136
K,C-CO,1.782
K,CCOH,1.444
K,CCO-H,2.424
K,C-COH,2.135
K,CCOO,-0.743
K,CCO-O,-0.089
K,C-COO,-0.45
K,CCOOH,-1.706
K,CCOO-H,-0.228
K,CCO-OH,-0.91
K,C-COOH,-0.722
K,CH(-H)CH2O,0.758
K,CH(-H)CH2OH,0.279
K,CH(-H)CHOOH,-1.376
K,CH2(-H)CHOO,-1.126
K,CH2C(-H)O,0.388
K,CH2C(-H)OH,0.454
K,CH2C(-H)OOH,-1.909
K,CH2CH(-H)O,0.425
K,CH2CH(-H)OH,0.309
K,CH2CH2O,0.08
K,CH2-CH2O,1.268
K,CH2CH2OH,-0.531
K,CH2CH2O-H,0.497
K,CH2-CH2OH,1.023
K,CH2CHO,-0.016
K,CH2-CHO,0.983
K,CH2CHOH,-0.196
K,CH2CHO-H,0.466
K,CH2-CHOH,1.109
K,CH2CHOO,-1.401
K,CH2CHO-O,-1.019
K,CH2-CHOO,-0.938
K,CH2CHOOH,-2.329
K,CH2CHOO-H,-1.068
K,CH2-CHOOH,-1.005
K,CH2CO,0.352
K,CH2-CO,0.944
K,CH2COH,0.232
K,CH2CO-H,1.185
K,CH2-COH,1.373
K,CH2COO,-2.092
K,CH2CO-O,-1.027
K,CH2-COO,-0.618
K,CH2COOH,-2.597
K,CH2COO-H,-1.628
K,CH2CO-OH,-1.476
K,CH2-COOH,-1.47
K,CH3C(-H)O,-0.073
K,CH3C(-H)OH,-0.027
K,CH3C(-H)OO,-2.195
K,CH3C(-H)OOH,-2.554
K,CH3CH(-H)O,-0.037
K,CH3CH(-H)OH,-0.162
K,CH3CH2O,-0.662
K,CH3-CH2O,1.436
K,CH3CH2O-H,-0.173
K,CH3-CH2OH,1.309
K,CH3CHO,-0.333
K,CH3-CHO,0.825
K,CH3CHOH,-0.64
K,CH3CHO-H,0.208
K,CH3-CHOH,0.896
K,CH3CHOO,-2.38
K,CH3CHO-O,-1.97
K,CH3-CHOO,-1.04
K,CH3CHOOH,-3
K,CH3CHOO-H,-2.168
K,CH3CHO-OH,-2.665
K,CH3-CHOOH,-1.069
K,CH3CO,-0.498
K,CH3-CO,0.839
K,CH3COH,-0.214
K,CH3CO-H,0.531
K,CH3-COH,0.887
K,CH3COO,-3.266
